quest_id,question
0,Nhật Bản đã tổ chức mấy kì Thế Vận hội mùa hè?
1,Liệt kê các ngày diễn ra các đợt tiến công của Quân đội Nhân dân Việt Nam trong chiến dịch Tây Bắc ?
2,Các tên gọi của Virus Corona?
3,Bộ phim Titanic được bao nhiêu đề cử và giành được bao nhiêu giải thưởng tại lễ trao giải Oscar năm 1998 ? 
4,Các kỹ xảo trong bộ phim truyền hình Tây du ký được thực hiện như thế nào?
5,Long An nổi tiếng với những sản phẩm nông nghiệp nào?
6,Có mấy cách phân vùng Mỹ Latinh?
7,Bàn cờ tướng được thiết kế như thế nào?
8,"Liệt kê các phiên bản lời nhạc tiếng Anh của bài nhạc ""A Time for Us"" ?"
9,Lá cờ đỏ sao vàng được Lê Quý Trinh sáng tạo ra đúng không?
10,Những bộ phim Cha Eun-woo đã tham gia?
11,Nhóm nhạc M-girls bao gồm những thành viên nào?
12,"Tính đến thời điểm hiện tại, người Korowai còn ăn thịt người không?"
13,Những thiệt hại trong quá trình xây dụng Cầu Québec?
14,Axel Munthe là ai?
15,Trí tuệ nhân tạo được hiểu là gì?
16,"Tính đến nay, Tập đoàn Võ Đường Ngọc Hòa bao gồm bao nhiêu công ty thành viên?"
17,Nguyên nhân của bệnh sốt phát ban do chuột là gì?
18,Hãy sơ lược diễn biến tình hình đại dịch COVID  ở Việt Nam theo dòng thời gian bắt đầu từ tháng 01 năm 2020 đến tháng 10 năm 2021? 
19,Ngày bầu cử tổng thống Hoa Kỳ được quy định như thế nào ?
20,Đã từng có người nào là Tổng thống Hoa Kỳ quá hai nhiệm kỳ chưa?
21,Ai là người viết và đọc Tuyên ngôn độc lập?
22,7SENSES được đào tạo như thế nào?
23,Mười hai con giáp có nguồn gốc từ đâu?
24,Tại sao Qatar được đăng cai tổ chức Cúp bóng đá châu Á 2023?
25,Ai là Chủ tịch nước đầu tiên của nước Cộng hòa Xã hội Chủ nghĩa Việt Nam?
26,Vị trí địa lý đã tạo những điều kiện thuận lợi gì cho Trung du miền núi Bắc Bộ phát triển?
27,Bộ phim truyền hình Tây du ký gồm bao nhiêu tập?
28,Gia đình của Lý Thái Tổ có những ai?
29,Quá trình phát triển của kênh VTV3?
30,Có những quy định gì về trang phục cho các thủ môn?
31,Hoàn cảnh ra đời Truyện Kiều của Nguyễn Du?
32,SEAP Games đầu tiên được tổ chức bao gồm các thành viên đến từ những quốc gia nào? 
33,Kể tên các bài toán của Giải Thiên niên kỷ do Viện Toán học Clay đề xuất vào năm 2000 ?
34,"Hãy liệt kê các chức vụ trong sự nghiệp chính trị của bà Nguyễn Thị Kim Ngân, nguyên chủ tich quốc hội nước Việt Nam ?"
35, Mặt nạ của Tutankhamun có kết cấu như thế nào?
36,"Vào năm 2019, Iphone XS là điện thoại di động bán chạy nhất năm trên toàn thế giới đúng không?"
37,Bosentan không được sử dụng cho những trường hợp nào?
38,Ý nghĩa của ba quy luật cơ bản của phép biện chứng duy vật là gì?
39,Giải vô địch bóng đá Đông Nam Á có những tên gọi gì?
40,Vụ cháy cửa hàng bách hóa Shirokiya dẫn đến sự thay đổi trang phục như thế nào?
41,Nữ thần Serket đã làm gì để bảo vệ con người?
42,Jane Lưu đã nổi tiếng nhờ vào công trình nghiên cứu nào?
43,Vùng Đông Nam bộ có bao nhiêu tỉnh thành?
44,Chủ tịch nước hay Tổng bí thư là lãnh đạo cao nhất đối với Quân đội nhân dân Việt Nam?
45,Nước nào là đối tác chiến lược toàn diện với Việt Nam đầu tiên?
46,Năm tôn giáo lớn nhất ở Việt Nam là gì? 
47, Đội tuyển bóng đá quốc gia Argentina đã vô địch mấy mùa World Cup?
48,Chương trình Đường lên đỉnh Olympia năm thứ 20 bao gồm những phần thi nào?
49,Xe Fiat 3000 đã từng tham gia vào những cuộc chiến đấu nào?
50,Vũ Phạm Hàm có phải là một con phố ở Hà Nội không?
51,Euro đã được tổ chức tại Pháp mấy lần?
52,Ai là người thiết kế Áo dài Trần Lệ Xuân?
53,Đồng bằng sông Hồng nằm ở khu vực nào?
54,Các dân tộc tại Việt Nam thường sinh sống ở đâu?
55,Các phi công đã mắc lỗi nghiêm trọng nào trong chuyến bay 427 của USAir?
56,Các mã cổ phiếu thuộc tập đoàn Vingroup là những mã nào?
57,Có mấy loại hãng hàng không?
58,Thúy Kiều có mấy anh chị em?
59,Các giải thưởng được tạo ra bởi Viện toán học Clay?
60,"Dựa theo số chiều, hình ảnh được chia làm mấy loại?"
61,"Tuyến đường đi qua huyện Mai Sơn, tỉnh Sơn La có tên gọi là gì ?"
62,Quijada đã làm gì khi quyết đổi tên thành Don Quijote de la Mancha?
63,Nguyên nhân dẫn tới tiêu dùng phô trương là gì?
64,Định nghĩa về thảo mộc?
65,Tháp Trump được thiết kế bởi ai?
66,Bài hát New Day for You có mấy MV?
67,"Năm 10 tuổi, diễn viên Bright đã học những loại nhạc cụ nào?"
68,Truyền thuyết của Lê Thái Tổ Lê Lợi về cửu vĩ hồ là gì?
69,Chương trình truyền hình thực tế Running Man có bao nhiêu phiên bản? 
70,Mục đích và đối tượng tham gia trong Hội nghị thành lập Đảng Cộng sản Việt Nam?
71,Quân hàm của Đại tướng Quân đội nhân dân Việt Nam được quy định như thế nào từ trước đến nay?
72,Thành phố trực thuộc trung ương tại Việt Nam là gì?
73,"Sau Nguyễn Văn Tố, ai là Chủ tịch quốc hội nước Việt Nam?"
74,Giáp Ngọ Niên bình Nam đồ do ai tạo ra?
